endTime,artistName,trackName,msPlayed
2023-05-26 0:17,Tiago PZK,Nena Mala,196634
2023-05-26 0:21,FMK,YO SE QUE TU (feat. Rusherking),193043
2023-05-26 0:23,Trueno,Hood - Remix,176372
2023-05-26 0:26,Tiago PZK,Noches De Soledad,155282
2023-05-26 0:31,Tiago PZK,Bandolero,289704
2023-05-26 0:34,Tiago PZK,Hablando De Love,156090
2023-05-26 0:36,Dani Ribba,Cuando Me Ves,153099
2023-05-26 0:36,Christina Aguilera,Hurt,3720
2023-05-26 0:39,Christina Aguilera,Hurt,960
2023-05-26 0:42,Christina Aguilera,Hurt,243373
2023-05-26 0:46,Christina Aguilera,I Will Be,212193
2023-05-26 0:49,Emilia,No_se_ve.mp3,203636
2023-05-26 0:51,Taiu,Rara Vez,128677
2023-05-26 0:53,Mesita,Dale Mecha,75796
2023-05-26 0:57,BM,M.A - Remix,272727
2023-05-26 1:00,Emilia,Jagger.mp3,155861
2023-05-26 1:02,Big One,Un Finde | CROSSOVER #2,162500
2023-05-26 1:06,Eladio Carrion,Coco Chanel,208125
2023-05-26 1:09,Lauty Gram,Vida Gangster,170058
2023-05-26 1:12,Tiago PZK,Me Enteré,182075
2023-05-26 1:15,WOS,ARRANCARMELO,183547
2023-05-26 1:17,Nicki Nicole,CAEN LAS ESTRELLAS,145171
2023-05-26 1:20,Ozuna,Hey Mor,196600
2023-05-26 1:24,Grupo Frontera,un x100to,194563
2023-05-26 1:27,The La Planta,DISCOTEKA (feat. Locura Mix),204480
2023-05-26 1:30,Eslabon Armado,Ella Baila Sola,165671
2023-05-26 1:33,Luck Ra,Ya No Vuelvas (Versión Cuarteto),204000
2023-05-26 1:37,Cris Mj,Marisola - Remix,237473
2023-05-26 1:40,LiL CaKe,MERCHO,161451
2023-05-26 1:43,Feid,Feliz Cumpleaños Ferxxo,155960
2023-05-26 1:45,Nicki Nicole,qué le pasa conmigo?,167251
2023-05-26 1:48,Milo j,Milagrosa,140288
2023-05-26 1:52,Bad Bunny,WHERE SHE GOES,231704
2023-05-26 1:55,Ke Personajes,Pobre Corazón - En Vivo,198930
2023-05-26 1:57,Damas Gratis,Costumbres - Vivo,133077
2023-05-26 2:00,Yng Lvcas,La Bebe - Remix,19110
2023-05-26 2:00,TINI,Cupido,174369
2023-05-26 2:03,Maria Becerra,Te Cura,150612
2023-05-26 2:06,Feid,CHORRITO PA LAS ANIMAS,168133
2023-05-26 2:08,Mesita,Dale Mecha,150829
2023-05-26 2:12,KAROL G,TQG,197933
2023-05-26 2:14,Manuel Turizo,La Bachata,162637
2023-05-26 2:18,Emilia,No_se_ve.mp3,203636
2023-05-26 2:21,Miranda!,Perfecta (Versión 2023),221053
2023-05-26 2:24,Big One,En La Intimidad | CROSSOVER #1,165854
2023-05-26 2:28,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945
2023-05-26 2:30,Luck Ra,Quiero Creer,145054
2023-05-26 2:34,Yandel,Yandel 150,216148
2023-05-26 2:37,Lolo OG,Azote - Remix,180011
2023-05-26 12:58,Los Re Papa,Cumpleaños Feliz,47140
2023-05-26 13:01,Big One,Un Finde | CROSSOVER #2,162500
2023-05-26 13:05,Yng Lvcas,La Bebe - Remix,234352
2023-05-26 13:08,BM,M.A - Remix,1327
2023-05-26 13:12,Miley Cyrus,Angels Like You,196453
2023-05-26 13:18,Tate McRae,that way,175026
2023-05-26 13:22,Olivia Rodrigo,traitor,229226
2023-05-26 13:25,Benson Boone,In The Stars,216410
2023-05-26 13:29,Harry Styles,Little Freak,202183
2023-05-26 13:32,Dean Lewis,How Do I Say Goodbye,163603
2023-05-26 13:34,Julia Michaels,What A Time (feat. Niall Horan),173306
2023-05-26 13:38,J Balvin,Otra Noche Sin Ti,228920
2023-05-26 13:42,Taylor Swift,All Of The Girls You Loved Before,221407
2023-05-26 13:45,Lizzy McAlpine,ceilings,182887
2023-05-26 13:49,Shawn Mendes,It'll Be Okay,222800
2023-05-26 13:52,Ed Sheeran,Eyes Closed,194848
2023-05-26 13:56,Harry Styles,Matilda,245964
2023-05-26 13:59,Selena Gomez,My Mind & Me,147597
2023-05-26 14:02,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687
2023-05-26 14:05,Conan Gray,Heather,198040
2023-05-26 14:09,Clinton Kane,I GUESS I'M IN LOVE,204093
2023-05-26 14:12,Tate McRae,chaotic,178720
2023-05-26 14:16,Jaymes Young,Happiest Year,228442
2023-05-26 14:20,Harry Styles,Falling,240133
2023-05-26 14:20,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,17175
2023-05-29 23:38,ANTES QUE NADIE,ES DE CARETA,2894601
2023-05-30 10:20,Emilia,No_se_ve.mp3,203636
2023-05-30 10:23,Emilia,Jagger.mp3,155861
2023-05-30 10:26,Tiago PZK,Me Enteré,182075
2023-05-30 10:28,TINI,Cupido,174369
2023-05-30 10:31,Shakira,Acróstico,170785
2023-05-30 10:34,Maria Becerra,Te Cura,150612
2023-05-30 10:36,Emilia,Underground,149471
2023-05-30 10:40,Miranda!,Uno los Dos,215248
2023-05-30 10:44,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945
2023-05-30 10:46,TINI,Muñecas,156318
2023-05-30 10:49,Nicki Nicole,DISPARA ***,143935
2023-05-30 10:51,Emilia,intoxicao,168508
2023-05-30 10:55,Maria Becerra,DESAFIANDO EL DESTINO,192703
2023-05-30 10:58,Sebastian Yatra,VAGABUNDO,215600
2023-05-30 11:01,KAROL G,TQG,197933
2023-05-30 11:04,TINI,La Triple T,167674
2023-05-30 14:49,Timbaland,Apologize,20360
2023-05-30 14:49,Timbaland,Apologize,184400
2023-05-30 14:49,Katy Perry,The One That Got Away,2210
2023-05-30 14:53,Adele,Set Fire to the Rain,242973
2023-05-30 14:57,P!nk,Try,247906
2023-05-30 15:01,Sam Smith,I'm Not The Only One,239316
2023-05-30 15:06,Timbaland,If We Ever Meet Again (Featuring Katy Perry),292706
2023-05-30 15:10,Keane,Somewhere Only We Know,237146
2023-05-30 15:13,Maroon 5,Maps,189960
2023-05-30 15:18,Coldplay,A Sky Full of Stars,267866
2023-05-30 15:22,Fergie,Big Girls Don't Cry (Personal),268120
2023-05-30 15:26,Timbaland,Apologize - Instrumental,187626
2023-05-30 15:29,Sam Smith,Too Good At Goodbyes,201000
2023-05-30 15:32,Bruno Mars,When I Was Your Man,213826
2023-05-30 15:36,Katy Perry,Unconditionally,228878
2023-05-30 15:41,Rihanna,Umbrella,275986
2023-05-30 15:45,Timbaland,Marchin On (Featuring OneRepublic) - Timbo Version,251786
2023-05-30 15:59,Ed Sheeran,Photograph,224607
2023-05-30 23:24,Emilia,La Chain,62857
