endTime,artistName2,trackName,msPlayed
2023-03-01 02:49,Big One,En La Intimidad | CROSSOVER #1,165854

2023-03-01 02:52,Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",177442

2023-03-01 02:55,Tiago PZK,Entre Nosotros,192352

2023-03-01 03:00,Rusherking,Además de Mí - Remix,330040

2023-03-01 03:02,TINI,Recuerdo,71161

2023-03-01 03:04,La Joaqui,Butakera,143402

2023-03-01 03:07,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000

2023-03-01 03:09,Bad Bunny,Si Estuviésemos Juntos,169247

2023-03-01 03:14,Lunay,Soltera - Remix,266086

2023-03-01 03:16,Manuel Turizo,La Bachata,162637

2023-03-01 04:15,Rusherking,Antes de Ti,173763

2023-03-01 04:16,Billie Eilish,TV,54165

2023-03-01 10:09,Billie Eilish,TV,227214

2023-03-01 10:14,Billie Eilish,Happier Than Ever,298899

2023-03-01 10:18,Billie Eilish,everything i wanted,245425

2023-03-01 10:21,Billie Eilish,bad guy,194087

2023-03-01 10:25,Billie Eilish,Getting Older,244221

2023-03-01 15:15,Billie Eilish,Therefore I Am,174321

2023-03-01 15:18,Billie Eilish,when the party's over,196077

2023-03-01 15:21,Billie Eilish,I Didn't Change My Number,158463

2023-03-01 15:23,Billie Eilish,Billie Bossa Nova,16441

2023-03-01 15:23,Billie Eilish,Bored,130259

2023-03-01 15:24,TINI,Duele (feat. John C),10690

2023-03-01 15:26,TINI,Muñecas,156318

2023-03-01 15:27,Bad Bunny,Si Estuviésemos Juntos,65897

2023-03-01 15:31,Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",1193

2023-03-01 15:31,Quevedo,VISTA AL MAR,178845

2023-03-01 15:34,Quevedo,VISTA AL MAR,158540

2023-03-01 15:38,Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",177442

2023-03-01 15:43,Bad Bunny,Yonaguni,39933

2023-03-01 15:44,La Joaqui,Butakera,2840

2023-03-01 15:44,Zion & Lennox,Berlin,38000

2023-03-01 15:47,Quevedo,VISTA AL MAR,169000

2023-03-01 15:50,Marc Seguí,Tiroteo - Remix,56540

2023-03-01 15:50,Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",171215

2023-03-01 15:53,Alan Gomez,LA JOAQUI | Mission 08,149500

2023-03-01 15:56,Maria Becerra,Confiesalo,197112

2023-03-01 15:59,Lola Indigo,DISCOTEKA,174801

2023-03-01 16:03,Maria Becerra,PERREO FURIOSO,25443

2023-03-01 16:03,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945

2023-03-01 16:06,Maria Becerra,LA NENA DE ARGENTINA,182458

2023-03-01 16:11,Maria Becerra,NUNCA PASARÁ,173440

2023-03-01 16:12,Maria Becerra,MANDAMIENTOS,23333

2023-03-01 16:14,Maria Becerra,ADIÓS,160856

2023-03-01 16:18,Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",187500

2023-03-01 16:21,Cris Mj,Marisola - Remix,237473

2023-03-01 16:27,Rauw Alejandro,Cúrame,164705

2023-03-01 16:30,Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",177442

2023-03-01 16:32,TINI,Duele (feat. John C),138012

2023-03-01 16:37,Nio Garcia,AM Remix,261334

2023-03-01 16:40,Rauw Alejandro,Sexo Virtual,208291

2023-03-01 16:43,Lali,2 Son 3,165455

2023-03-01 16:58,Anitta,Envolver,154640

2023-03-01 18:04,Rei,Tu Turrito,1237

2023-03-01 18:05,La Joaqui,Butakera,9685

2023-03-01 18:07,Maria Becerra,LA NENA DE ARGENTINA,151988

2023-03-01 18:10,Maria Becerra,NUNCA PASARÁ,173440

2023-03-01 18:12,Maria Becerra,MANDAMIENTOS,142711

2023-03-01 18:15,Maria Becerra,ADIÓS,160856

2023-03-01 18:18,Manuel Turizo,La Bachata,162637

2023-03-01 18:20,Tiago PZK,Entre Nosotros (Remix) [con Nicki Nicole],129124

2023-03-01 19:16,Zoe Gotusso,Un Bossa +,86000

2023-03-01 19:19,Zoe Gotusso,María,229943

2023-03-01 19:24,Zoe Gotusso,Ganas,254224

2023-03-01 19:26,Zoe Gotusso,Amándote,150859

2023-03-01 19:30,Emmanuel Horvilleur,Amor Loco,226840

2023-03-01 19:33,Zoe Gotusso,Monoambiente en Capital,181087

2023-03-01 19:37,Conociendo Rusia,Loco en el Desierto,257176

2023-03-01 19:51,Tiago PZK,Entre Nosotros (Remix) [con Nicki Nicole],131132

2023-03-01 19:52,Rei,Tu Turrito,56129

2023-03-01 19:54,Cris Mj,Una Noche en Medellín,153750

2023-03-01 20:01,Rusherking,Además de Mí - Remix,330040

2023-03-01 20:05,Duki,Si Te Sentis Sola,178294

2023-03-01 20:06,Conociendo Rusia,Puede Ser,103456

2023-03-01 22:01,Cris Mj,Marisola - Remix,3886

2023-03-01 22:03,Maria Becerra,LA NENA DE ARGENTINA,151988

2023-03-01 22:06,Maria Becerra,NUNCA PASARÁ,173440

2023-03-01 22:08,Salastkbron,TITAN,122135

2023-03-01 22:12,Bad Bunny,Tarot,237894

2023-03-02 01:14,Emilia,rápido lento,7394

2023-03-02 01:17,Maria Becerra,LA NENA DE ARGENTINA,177124

2023-03-02 01:20,Maria Becerra,NUNCA PASARÁ,173440

2023-03-02 01:22,Maria Becerra,MANDAMIENTOS,142711

2023-03-02 01:25,Maria Becerra,ADIÓS,160856

2023-03-02 01:28,LIT killah,En la Oscuridad,173142

2023-03-02 01:30,TINI,Las Jordans,144799

2023-03-02 03:43,Tiago PZK,Entre Nosotros,192352

2023-03-02 03:46,Nicki Nicole,Sabe,177655

2023-03-02 03:48,Bad Bunny,Si Estuviésemos Juntos,169247

2023-03-02 03:53,Tiago PZK,Entre Nosotros (Remix) [con Nicki Nicole],260000

2023-03-02 03:56,Maria Becerra,AUTOMÁTICO,175317

2023-03-02 03:59,Duki,GIVENCHY,182610

2023-03-02 04:02,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",198937

2023-03-02 04:04,Duki,TOP 5,146815

2023-03-02 04:07,Duki,Pintao,167340

2023-03-02 04:08,Rei,Tu Turrito,79785

2023-03-02 15:19,Lola Indigo,DISCOTEKA,149860

2023-03-02 15:20,1915,Olas,108540

2023-03-02 16:11,Rihanna,Woo,156266

2023-03-02 16:23,1915,Olas,136445

2023-03-02 16:26,WOS,ARRANCARMELO,183547

2023-03-02 16:30,El Kuelgue,Cinema,278906

2023-03-02 16:33,El Kuelgue,En Tanto y en Cuanto,176286

2023-03-02 16:37,Zoe Gotusso,Calefón,3024

2023-03-02 16:37,Zoe Gotusso,Volverte a Ver,241538

2023-03-02 22:06,Zoe Gotusso,Cuarto Creciente,323671

2023-03-02 22:10,Zoe Gotusso,Desnuda,225264

2023-03-02 22:13,Salvapantallas,Fue Amor,202991

2023-03-02 22:17,Emmanuel Horvilleur,Amor Loco,226840

2023-03-02 22:20,Zoe Gotusso,Mi Primer Día Triste,158652

2023-03-02 22:22,Paz Carrara,Radar,117739

